mavpackettype,TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
IMU,48682395,0.057938352227211,0.06532701104879379,-0.04724041745066643,-1.4136260747909546,-0.34040719270706177,-9.990236282348633,0,0,55.14731216430664,1,1,998,998
IMU,48723027,-0.02017311193048954,0.002023728098720312,-0.005365864373743534,-0.2174907773733139,-0.23541580140590668,-9.494009971618652,0,0,55.148983001708984,1,1,998,998
IMU,48763067,-0.048284098505973816,-0.06049593538045883,0.11453728377819061,0.65021812915802,-0.7074890732765198,-9.79927921295166,0,0,55.151241302490234,1,1,998,998
IMU,48803588,0.009079254232347012,0.009597853757441044,-0.07776638865470886,-0.008802235126495361,0.4078010320663452,-10.214527130126953,0,0,55.1537971496582,1,1,998,998
IMU,48843539,0.07289557158946991,0.09793002903461456,-0.07895804196596146,-1.6971513032913208,0.07795706391334534,-9.446111679077148,0,0,55.15730285644531,1,1,998,998
IMU,48883555,-0.014758453704416752,0.00771300820633769,0.002002883469685912,-0.1270809769630432,0.2918315529823303,-9.005499839782715,0,0,55.15995788574219,1,1,998,998
IMU,48923746,-0.005916105583310127,-0.03339054435491562,-0.008282634429633617,0.05607207119464874,0.9066652059555054,-9.09630298614502,0,0,55.160491943359375,1,1,998,998
IMU,48963770,-0.025684799998998642,0.001668049837462604,-0.07848392426967621,-0.635077714920044,-0.39591318368911743,-9.700876235961914,0,0,55.161354064941406,1,1,998,998
IMU,49004449,-0.03636777400970459,-0.06923869997262955,0.09839773923158646,0.5838130116462708,-2.8105132579803467,-11.133392333984375,0,0,55.16264343261719,1,1,998,998
IMU,49045598,0.006308945827186108,-0.005209361203014851,0.01475814450532198,-0.3338470160961151,0.14677180349826813,-9.927022933959961,0,0,55.16389846801758,1,1,998,998
IMU,49085618,0.007936902344226837,0.011552863754332066,-0.008402124047279358,-0.04170478880405426,1.6549683809280396,-8.935454368591309,0,0,55.16400146484375,1,1,998,998
IMU,49126517,-0.013529527001082897,-0.011399276554584503,-0.07538430392742157,-0.8657444715499878,0.8090078830718994,-8.809710502624512,0,0,55.163021087646484,1,1,998,998
IMU,49166413,-0.049875322729349136,-0.04937274754047394,0.10445363819599152,0.18875786662101746,-2.6283435821533203,-10.94602108001709,0,0,55.1632080078125,1,1,998,998
IMU,49207207,-0.03452432155609131,-0.06371510028839111,0.07244586944580078,0.8241800665855408,-1.357843041419983,-10.67437744140625,0,0,55.163211822509766,1,1,998,998
IMU,49246837,0.054274726659059525,0.011545427143573761,-0.0692066103219986,-0.16346454620361328,1.7390029430389404,-10.185470581054688,0,0,55.16461944580078,1,1,998,998
IMU,49286927,0.050068777054548264,0.09353408962488174,-0.0910528153181076,-1.6252979040145874,-0.2092939019203186,-9.601414680480957,0,0,55.16586685180664,1,1,998,998
IMU,49327651,-0.06227488070726395,-0.05384724959731102,0.07963679730892181,-0.05302385240793228,-0.9220765233039856,-9.893784523010254,0,0,55.167449951171875,1,1,998,998
IMU,49367589,-0.05897390842437744,-0.05843774229288101,0.12176837027072906,0.6020901799201965,-0.990313708782196,-9.772305488586426,0,0,55.169639587402344,1,1,998,998
IMU,49408294,-0.0006837602704763412,-0.0017768139950931072,-0.09172322601079941,0.08698831498622894,0.1704724282026291,-10.14525318145752,0,0,55.172080993652344,1,1,998,998
IMU,49448368,0.007756344974040985,0.02684001810848713,-0.01192030031234026,-0.7533769607543945,-2.1792702674865723,-10.896356582641602,0,0,55.17436218261719,1,1,998,998
IMU,49488343,0.008122687228024006,-0.018689008429646492,0.007112654857337475,-0.010892026126384735,-0.0865045115351677,-9.94308090209961,0,0,55.17733383178711,1,1,998,998
IMU,49528861,-0.02961600199341774,-0.04635528475046158,0.09784796833992004,0.6952205300331116,0.23678460717201233,-9.257874488830566,0,0,55.17996597290039,1,1,998,998
IMU,49568731,-0.015306656248867512,-0.02429461106657982,-0.05846458673477173,0.1055249273777008,0.477807879447937,-10.00024127960205,0,0,55.1814079284668,1,1,998,998
IMU,49609685,-0.02915678173303604,0.008506287820637226,0.05587923899292946,-0.7874912619590759,-2.0241994857788086,-10.647270202636719,0,0,55.18355178833008,1,1,998,998
IMU,49649704,-0.008036347106099129,-0.009158340282738209,0.03255279362201691,-0.129424586892128,-1.2095013856887817,-10.632478713989258,0,0,55.18635559082031,1,1,998,998
IMU,49689820,0.03606634959578514,0.027446607127785683,0.003519033081829548,-0.2742501497268677,1.413766860961914,-9.121644973754883,0,0,55.18854904174805,1,1,998,998
IMU,49730391,0.056416042149066925,0.06539498269557953,-0.12697654962539673,-1.1013500690460205,1.4207968711853027,-9.201788902282715,0,0,55.190059661865234,1,1,998,998
