mavpackettype,TimeUS,Volt,VoltR,Curr,CurrTot,Temp,Res
BAT,46885523,16.599000930786133,100.0,0.625,8.0,32.4,0.0
BAT,46986440,16.599000930786133,100.0,0.625,8.0,32.4,0.0
BAT,47087296,16.600000381469727,100.0,0.612000048160553,8.0,32.4,0.0
BAT,47188342,16.600000381469727,100.0,0.612000048160553,8.0,32.4,0.0
BAT,47288549,16.604000091552734,100.0,0.6720000505447388,8.0,32.4,0.0
BAT,47390142,16.604000091552734,100.0,0.6720000505447388,8.0,32.4,0.0
BAT,47489794,16.604000091552734,100.0,0.6720000505447388,8.0,32.4,0.0
BAT,47590723,16.582000732421875,100.0,0.7400000095367432,8.0,32.4,0.0
BAT,47691185,16.582000732421875,100.0,0.7400000095367432,8.0,32.4,0.0
BAT,47791766,16.558000564575195,100.0,0.8500000238418579,8.0,32.4,0.0
BAT,47891610,16.558000564575195,100.0,0.8500000238418579,8.0,32.4,0.0
BAT,47992297,16.558000564575195,100.0,0.9920000433921814,8.0,32.4,0.0
BAT,48093271,16.54400062561035,100.0,0.9920000433921814,8.0,32.4,0.0
BAT,48193715,16.54400062561035,100.0,1.227000117301941,8.0,32.4,0.0
BAT,48293808,16.485000610351562,100.0,1.227000117301941,8.0,32.4,0.0
BAT,48395302,16.485000610351562,100.0,1.227000117301941,8.0,32.4,0.0
BAT,48496765,16.485000610351562,100.0,1.4220000505447388,8.0,32.4,0.0
BAT,48596714,16.483001708984375,100.0,1.4220000505447388,8.0,32.4,0.0
BAT,48697432,16.483001708984375,100.0,1.5550000667572021,8.0,32.4,0.0
BAT,48797824,16.486000061035156,100.0,1.5550000667572021,8.0,32.4,0.0
BAT,48898695,16.486000061035156,100.0,1.5550000667572021,8.0,32.4,0.0
BAT,48998632,16.486000061035156,100.0,1.6690000295639038,8.0,32.4,0.0
BAT,49100715,16.487001419067383,100.0,1.6690000295639038,8.0,32.4,0.0
BAT,49201493,16.487001419067383,100.0,1.6150001287460327,8.0,32.4,0.0
BAT,49301839,16.487001419067383,100.0,1.6150001287460327,8.0,32.4,0.0
BAT,49402612,16.487001419067383,100.0,1.6150001287460327,8.0,32.4,0.0
BAT,49503338,16.485000610351562,100.0,1.6040000915527344,9.0,32.4,0.0
BAT,49603864,16.485000610351562,100.0,1.6040000915527344,9.0,32.4,0.0
BAT,49704724,16.48400115966797,100.0,1.6070001125335693,9.0,32.4,0.0
BAT,49805287,16.48400115966797,100.0,1.6070001125335693,9.0,32.4,0.0
BAT,49906631,16.48400115966797,100.0,1.6070001125335693,9.0,32.4,0.0
BAT,50007065,16.48000144958496,100.0,1.6170001029968262,9.0,32.4,0.0
BAT,50108829,16.48000144958496,100.0,1.6170001029968262,9.0,32.4,0.0
BAT,50209420,16.479000091552734,100.0,1.6320000886917114,9.0,32.4,0.0
BAT,50310085,16.479000091552734,100.0,1.6320000886917114,9.0,32.4,0.0
BAT,50411240,16.479000091552734,100.0,1.6320000886917114,9.0,32.4,0.0
BAT,50512471,16.48900032043457,100.0,1.6170001029968262,9.0,32.4,0.0
BAT,50612583,16.48900032043457,100.0,1.6170001029968262,9.0,32.4,0.0
BAT,50713315,16.481000900268555,100.0,1.6140000820159912,9.0,32.4,0.0
BAT,50813848,16.481000900268555,100.0,1.6140000820159912,9.0,32.4,0.0
BAT,50914846,16.481000900268555,100.0,1.6140000820159912,9.0,32.4,0.0
BAT,51015615,16.48200035095215,100.0,1.5800000429153442,9.0,32.4,0.0
BAT,51116991,16.48200035095215,100.0,1.5800000429153442,9.0,32.4,0.0
BAT,51217063,16.479000091552734,100.0,1.5770000219345093,9.0,32.4,0.0
BAT,51317438,16.479000091552734,100.0,1.5770000219345093,9.0,32.4,0.0
BAT,51418320,16.479000091552734,100.0,1.5770000219345093,9.0,32.4,0.0
BAT,51518817,16.477001190185547,100.0,1.592000126838684,9.0,32.4,0.0
BAT,51619428,16.477001190185547,100.0,1.592000126838684,9.0,32.4,0.0
BAT,51719849,16.479000091552734,100.0,1.6040000915527344,9.0,32.4,0.0
BAT,51819857,16.479000091552734,100.0,1.6040000915527344,9.0,32.4,0.0
BAT,51920678,16.479000091552734,100.0,1.6040000915527344,9.0,32.4,0.0
BAT,52021062,16.472000122070312,100.0,1.627000093460083,9.0,32.4,0.0
BAT,52122402,16.472000122070312,100.0,1.627000093460083,9.0,32.4,0.0
BAT,52223036,16.46500015258789,100.0,1.6400001049041748,9.0,32.4,0.0
BAT,52322824,16.46500015258789,100.0,1.6400001049041748,9.0,32.4,0.0
BAT,52423623,16.46500015258789,100.0,1.6400001049041748,9.0,32.4,0.0
BAT,52524082,16.464000701904297,100.0,1.6490000486373901,10.0,32.4,0.0
BAT,52624402,16.464000701904297,100.0,1.6490000486373901,10.0,32.4,0.0
BAT,52724417,16.464000701904297,100.0,1.6470000743865967,10.0,32.4,0.0
BAT,52824761,16.464000701904297,100.0,1.6470000743865967,10.0,32.4,0.0
BAT,52924740,16.464000701904297,100.0,1.6470000743865967,10.0,32.4,0.0
BAT,53025418,16.46000099182129,100.0,1.662000060081482,10.0,32.4,0.0
BAT,53126989,16.46000099182129,100.0,1.662000060081482,10.0,32.4,0.0
BAT,53227357,16.45600128173828,100.0,1.6450001001358032,10.0,32.4,0.0
BAT,53327675,16.45600128173828,100.0,1.6450001001358032,10.0,32.4,0.0
BAT,53428623,16.45600128173828,100.0,1.6450001001358032,10.0,32.4,0.0
BAT,53529792,16.46500015258789,100.0,1.6500000953674316,10.0,32.4,0.0
BAT,53630307,16.46500015258789,100.0,1.6500000953674316,10.0,32.4,0.0
BAT,53730749,16.474000930786133,100.0,1.659000039100647,10.0,32.4,0.0
BAT,53831151,16.474000930786133,100.0,1.659000039100647,10.0,32.4,0.0
BAT,53931671,16.474000930786133,100.0,1.659000039100647,10.0,32.4,0.0
BAT,54032143,16.196001052856445,100.0,2.4670000076293945,10.0,32.4,0.0
BAT,54133418,16.196001052856445,100.0,2.4670000076293945,10.0,32.4,0.0
BAT,54234123,16.196001052856445,100.0,3.9620001316070557,10.0,32.4,0.0
BAT,54334514,16.0,100.0,3.9620001316070557,10.0,32.4,0.0
BAT,54435633,16.0,100.0,3.9620001316070557,10.0,32.4,0.0
BAT,54535684,15.553000450134277,100.0,6.295000076293945,12.0,32.4,0.0
BAT,54636156,15.553000450134277,100.0,6.295000076293945,12.0,32.4,0.0
BAT,54736587,15.553000450134277,100.0,8.96500015258789,12.0,32.4,0.0
BAT,54837219,15.373001098632812,100.0,8.96500015258789,12.0,32.4,0.0
BAT,54937532,15.373001098632812,100.0,8.96500015258789,12.0,32.4,0.0
BAT,55037750,15.19800090789795,100.0,11.109000205993652,12.0,32.4,0.0
BAT,55139141,15.19800090789795,100.0,11.109000205993652,12.0,32.4,0.0
BAT,55239733,15.19800090789795,100.0,12.74000072479248,12.0,32.4,0.0
BAT,55339865,15.117000579833984,100.0,12.74000072479248,12.0,32.4,0.0
BAT,55441119,15.117000579833984,100.0,12.74000072479248,12.0,32.4,0.0
BAT,55541704,15.11500072479248,100.0,13.414000511169434,16.0,32.4,0.0
BAT,55642185,15.11500072479248,100.0,13.414000511169434,16.0,32.4,0.0
BAT,55742793,15.11500072479248,100.0,13.414000511169434,16.0,32.4,0.0
BAT,55843129,14.999000549316406,100.0,14.149001121520996,16.0,32.4,0.0
BAT,55943151,14.999000549316406,100.0,14.149001121520996,16.0,32.4,0.0
BAT,56043395,15.00200080871582,100.0,14.394001007080078,16.0,32.4,0.0
BAT,56144709,15.00200080871582,100.0,14.394001007080078,16.0,32.4,0.0
BAT,56245060,15.00200080871582,100.0,14.394001007080078,16.0,32.4,0.0
BAT,56345575,15.028000831604004,100.0,14.339000701904297,16.0,32.4,0.0
BAT,56446700,15.028000831604004,100.0,14.339000701904297,16.0,32.4,0.0
BAT,56547297,15.051000595092773,100.0,14.094000816345215,20.0,32.4,0.0
BAT,56647860,15.051000595092773,100.0,14.094000816345215,20.0,32.4,0.0
BAT,56748407,15.051000595092773,100.0,14.094000816345215,20.0,32.4,0.0
BAT,56849162,15.128000259399414,100.0,13.324000358581543,20.0,32.4,0.0
BAT,56950049,15.128000259399414,100.0,13.324000358581543,20.0,32.4,0.0
BAT,57051169,15.238000869750977,100.0,12.394001007080078,20.0,32.4,0.0
BAT,57152606,15.238000869750977,100.0,12.394001007080078,20.0,32.4,0.0
BAT,57253286,15.238000869750977,100.0,12.394001007080078,20.0,32.4,0.0
BAT,57353743,15.370000839233398,100.0,11.540000915527344,20.0,32.4,0.0
BAT,57455679,15.370000839233398,100.0,11.540000915527344,20.0,32.4,0.0
BAT,57556128,15.110000610351562,100.0,11.589000701904297,23.0,32.5,0.0
BAT,57656831,15.110000610351562,100.0,11.589000701904297,23.0,32.5,0.0
BAT,57757438,15.110000610351562,100.0,11.589000701904297,23.0,32.5,0.0
BAT,57858160,15.066000938415527,100.0,11.722000122070312,23.0,32.5,0.0
BAT,57958694,15.066000938415527,100.0,11.722000122070312,23.0,32.5,0.0
BAT,58059556,15.032000541687012,100.0,12.237000465393066,23.0,32.5,0.0
BAT,58161034,15.032000541687012,100.0,12.237000465393066,23.0,32.5,0.0
BAT,58261763,15.032000541687012,100.0,12.237000465393066,23.0,32.5,0.0
BAT,58362844,15.157000541687012,100.0,12.611001014709473,23.0,32.5,0.0
BAT,58463707,15.157000541687012,100.0,12.611001014709473,23.0,32.5,0.0
BAT,58564353,15.123001098632812,100.0,12.51400089263916,23.0,32.5,0.0
BAT,58665402,15.123001098632812,100.0,12.51400089263916,26.0,32.5,0.0
BAT,58766050,15.123001098632812,100.0,12.51400089263916,26.0,32.5,0.0
BAT,58867137,15.017001152038574,100.0,12.59000015258789,26.0,32.5,0.0
BAT,58967783,15.017001152038574,100.0,12.59000015258789,26.0,32.5,0.0
BAT,59068652,15.227001190185547,100.0,11.90000057220459,26.0,32.5,0.0
BAT,59170217,15.227001190185547,100.0,11.90000057220459,26.0,32.5,0.0
BAT,59270845,15.227001190185547,100.0,11.90000057220459,26.0,32.5,0.0
BAT,59372305,15.30000114440918,100.0,11.994000434875488,26.0,32.5,0.0
BAT,59473517,15.30000114440918,100.0,11.994000434875488,26.0,32.5,0.0
BAT,59574347,15.289000511169434,100.0,11.572000503540039,26.0,32.5,0.0
